Ticker,Option Type,Alerted At,Day of Week,Time of Day,Expiry,Days to Exp.,Strike,Underlying,Diff %,Volume,Open Interest,Vol/OI,Implied Volatility,Delta,Gamma,Vega,Theta,Rho,Alert Ask,Score
MARA,Put,2021-12-03 13:08,OKAY|Friday,BAD|13:08,2021-12-10,OKAY|6,OKAY|$32,OKAY|$40.88,BAD|-21.72%,BAD|1103,BAD|15,OKAY|7353.33,BAD|183.73%,OKAY|-0.1367,BEST|0.0209,BAD|0.0125,BAD|-0.1623,BAD|-0.1244,OKAY|$86,40.62%
GDX,Put,2021-12-03 13:11,GOOD|Friday,OKAY|13:11,2021-12-10,BAD|6,OKAY|$29,BAD|$30.52,OKAY|-4.98%,OKAY|3193,BAD|197,GOOD|1620.81,BAD|43.55%,OKAY|-0.1935,BAD|0.1484,BAD|0.0117,GOOD|-0.0359,BAD|-0.1183,OKAY|$21,43.75%
SBUX,Put,2021-12-03 13:14,BEST|Friday,GOOD|13:14,2021-12-23,GOOD|19,BAD|$85,BAD|$110.49,BAD|-23.07%,GOOD|598,BAD|2,OKAY|29900,BEST|70.35%,BEST|-0.0472,BAD|0.0054,BEST|0.0255,OKAY|-0.0447,BAD|-0.3076,BEST|$39,60.94%
SPY,Call,2021-12-03 13:21,OKAY|Friday,GOOD|13:21,2022-05-20,BEST|167,OKAY|$570,OKAY|$449.93,OKAY|26.69%,OKAY|489,OKAY|17,OKAY|2876.47,BAD|16.69%,GOOD|0.0194,OKAY|0.0009,OKAY|0.1437,OKAY|-0.0069,BAD|3.8501,OKAY|$37,53.12%
UVXY,Call,2021-12-03 13:21,GOOD|Friday,OKAY|13:21,2021-12-10,BAD|6,OKAY|$32,BEST|$25.49,GOOD|25.54%,BAD|650,BAD|126,BAD|515.87,OKAY|378.79%,BEST|0.4298,BAD|0.0294,OKAY|0.0139,OKAY|-0.3719,BAD|0.149,OKAY|$340,50%
BAC,Put,2021-12-03 13:25,OKAY|Friday,OKAY|13:25,2021-12-23,BEST|19,BEST|$41,BEST|$43.88,BAD|-6.56%,BAD|376,OKAY|1,BAD|37600,GOOD|42.96%,BAD|-0.235,BAD|0.0695,OKAY|0.0316,BAD|-0.034,BAD|-0.602,OKAY|$66,50%
HAL,Put,2021-12-03 13:28,GOOD|Friday,BAD|13:28,2022-06-17,GOOD|195,BEST|$30,BAD|$21.73,OKAY|38.06%,OKAY|3127,BEST|154,BEST|2030.52,BAD|43.98%,GOOD|-0.7976,GOOD|0.0399,OKAY|0.0446,OKAY|-0.0051,GOOD|-14.1289,OKAY|$900,62.5%
KDP,Call,2021-12-03 13:31,OKAY|Friday,OKAY|13:31,2021-12-17,OKAY|13,OKAY|$39,GOOD|$34.4,GOOD|13.37%,GOOD|7205,OKAY|8,GOOD|90062.5,GOOD|43.87%,GOOD|0.0773,GOOD|0.0489,GOOD|0.0098,GOOD|-0.015,GOOD|0.0986,GOOD|$15,67.19%
AMZN,Put,2021-12-03 13:32,GOOD|Friday,BAD|13:32,2021-12-10,BAD|6,BAD|$2700,OKAY|$3350.68,BAD|-19.42%,BAD|586,BAD|37,BAD|1583.78,BAD|73.64%,OKAY|-0.0155,BEST|0.0001,BEST|0.1812,BAD|-0.945,BAD|-1.04,BAD|$216,40.62%
CGC,Call,2021-12-03 13:39,BAD|Friday,BEST|13:39,2021-12-10,GOOD|6,OKAY|$10.5,OKAY|$9.97,BAD|5.32%,BEST|982,BEST|326,BAD|301.23,OKAY|101.5%,OKAY|0.3801,OKAY|0.2704,GOOD|0.0053,BEST|-0.0372,OKAY|0.0665,OKAY|$36,60.94%
